Path;FileName
E:\eagle\ADV1045BU.mp4;"ADV1045BU - Horizon Cloud on Microsoft Azure Technical Deep Dive.mp4"
E:\eagle\ADV1076BU.mp4;"ADV1076BU - Troubleshooting Your Horizon 7 Deployment.mp4"
E:\eagle\ADV1084BU.mp4;"ADV1084BU - Monitoring Your Horizon Deployments and Users with the Horizon Service.mp4"
E:\eagle\ADV1110BU.mp4;"ADV1110BU - Architecting Workspace ONE The Official Reference Architecture.mp4"
E:\eagle\ADV1111BU.mp4;"ADV1111BU - Architecting Horizon The Official Reference Architecture.mp4"
E:\eagle\ADV1227BU.mp4;"ADV1227BU - Case Study Making It Epic  A Journey to Success.mp4"
E:\eagle\ADV1298BU.mp4;"ADV1298BU - Advantage Admin. How VDI Administrators Can Make Everyone Happy.mp4"
E:\eagle\ADV1299BU.mp4;"ADV1299BU - Employing a CPA How Cloud Pod Architecture Redefines DR and Experiences.mp4"
E:\eagle\ADV1300BU.mp4;"ADV1300BU - One Is Not Enough Multi-Cloud Deployments Enhance Colleague Experiences.mp4"
E:\eagle\ADV1313BU.mp4;"ADV1313BU - NSX-T and Horizon Better Security and Performance for VDI.mp4"
E:\eagle\ADV1322BU.mp4;"ADV1322BU - How to Template a Non-Persistent VDI Solution for Your Enterprise.mp4"
E:\eagle\ADV1337BU.mp4;"ADV1337BU - Beyond the Marketing What's New in Horizon 7.mp4"
E:\eagle\ADV1483BU.mp4;"ADV1483BU - Free Your Horizon to Soar in the Clouds.mp4"
E:\eagle\ADV1581BU.mp4;"ADV1581BU - The Latest and Greatest with VMware Blast Extreme.mp4"
E:\eagle\ADV1583BU.mp4;"ADV1583BU - Horizon Cloud Services Reduce Cost and Complexity in Horizon Deployments.mp4"
E:\eagle\ADV1640BU.mp4;"ADV1640BU - New era of Desktop and App-as-a-Service with VMware and Microsoft Windows Virtual Desktop.mp4"
E:\eagle\ADV1761BU.mp4;"ADV1761BU - Zero Trust Security with Horizon.mp4"
E:\eagle\ADV1798BU.mp4;"ADV1798BU - Unified Access Gateway Securing Virtual Desktop and App Access.mp4"
E:\eagle\ADV1819BU.mp4;"ADV1819BU - Increase IT Efficiency with a Tailored Application Deployment Strategy.mp4"
E:\eagle\ADV1954BU.mp4;"ADV1954BU - Facing the Top 10 Villains of Horizon Cloud.mp4"
E:\eagle\ADV2243BU.mp4;"ADV2243BU - Horizon 7 with VMware Cloud on AWS Deployment Architectures.mp4"
E:\eagle\ADV2272BU.mp4;"ADV2272BU - The (Not So) Dark Art of Application Packaging and Profiling.mp4"
E:\eagle\ADV2485BU.mp4;"ADV2485BU - VMware EUC as a Force for Good.mp4"
E:\eagle\ADV2511BU.mp4;"ADV2511BU - Horizon Delivery Models A Modernized Approach to Desktops and Apps.mp4"
E:\eagle\ADV2549BU.mp4;"ADV2549BU - Horizon and NSX - A Match made in Heaven.mp4"
E:\eagle\ADV2668BU.mp4;"ADV2668BU - Comprehensive architectural overview and deep-dive troubleshooting on UAG.mp4"
E:\eagle\ADV2808BU.mp4;"ADV2808BU - Horizon Disaster Recovery and Cloud Burst to VMware Cloud on AWS A Case Study.mp4"
E:\eagle\ADV2902BU.mp4;"ADV2902BU - Horizon View Upgrades A Relaxing Experience.mp4"
E:\eagle\ADV3037BU.mp4;"ADV3037BU - JMP The Easy Button for Delivering Virtual Desktops and Apps from Cloud.mp4"
